season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goalkeeping__saves,goalkeeping__goals_conceded,goalkeeping__own_goal_conceded,goalkeeping__saves_on_penalty,goalkeeping__clean_sheet,goalkeeping__punches,goalkeeping__matches_appearance
2001,52692,FEN,Fenerbahçe,Fenerbahçe,Türkiye,Turquía,,12,,,,,6
2001,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,12,,,,,6
2001,7889,LIV,Liverpool,Liverpool,England,Inglaterra,,11,,,8.0,,14
2001,50050,CEL,Celtic,Celtic,Scotland,Escocia,,11,,,2.0,,6
2001,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,10,,,6.0,,14
2001,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,10,,,5.0,,12
2001,50137,ROM,Roma,Roma,Italy,Italia,,10,,,4.0,,12
2001,53044,MAL,Mallorca,Mallorca,Spain,España,,9,,,3.0,,6
2001,50062,PSV,PSV,PSV,Netherlands,Holanda,,9,,,2.0,,6
2001,57388,SCH,Schalke,Schalke,Germany,Alemania,,9,,,1.0,,6
2001,5312,LYO,Lyon,Lyon,France,Francia,,9,,,1.0,,6
2001,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,,9,,,1.0,,6
2001,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,9,,,1.0,,6
2001,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,7,,,2.0,,6
2001,52973,LAZ,Lazio,Lazio,Italy,Italia,,7,,,1.0,,6
2001,75797,LIL,Lille,Lille,France,Francia,,7,,,,,6
2001,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,6,,,1.0,,6
2002,50109,LEV,Leverkusen,Leverkusen,Germany,Alemania,,26,,,2.0,,12
2002,50051,RMA,Real Madrid,Real Madrid,Spain,España,,22,,,3.0,,16
2002,59856,BSL,Basel,Basel,Switzerland,Suiza,,22,,,3.0,,12
2002,59324,NEW,Newcastle,Newcastle,England,Inglaterra,,21,,,1.0,,12
2002,59044,DEP,Deportivo,Deportivo,Spain,España,,20,,,2.0,,12
2002,50138,INT,Inter,Inter,Italy,Italia,,19,,,6.0,,16
2002,50139,JUV,Juventus,Juventus,Italy,Italia,,19,,,5.0,,17
2002,52682,MUN,Man Utd,Man Utd,England,Inglaterra,,19,,,4.0,,14
2002,50068,SPM,Spartak Moskva,Spartak Moskva,Russia,Rusia,,18,,,,,6
2002,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,,17,,,2.0,,12
2002,2610,OLY,Olympiacos,Olympiacos,Greece,Grecia,,17,,,,,6
2002,50058,MIL,Milan,Milan,Italy,Italia,,14,,,8.0,,17
2002,50143,AJX,Ajax,Ajax,Netherlands,Holanda,,13,,,4.0,,14
2002,50037,BAY,Bayern München,Bayern München,Germany,Alemania,,13,,,,,6
2002,52268,VAL,Valencia,Valencia,Spain,España,,12,,,6.0,,14
2002,50137,ROM,Roma,Roma,Italy,Italia,,12,,,5.0,,12
2002,52758,BVB,B. Dortmund,B. Dortmund,Germany,Alemania,,12,,,2.0,,12
2002,59045,MHA,Maccabi Haifa,Maccabi Haifa,Israel,Israel,,12,,,2.0,,6
2002,52806,ROS,Rosenborg,Rosenborg,Norway,Noruega,,12,,,1.0,,6
2002,52277,LEN,Lens,Lens,France,Francia,,11,,,,,6
2002,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,,10,,,2.0,,6
2002,50080,BAR,Barcelona,Barcelona,Spain,España,,9,,,7.0,,14
2002,52280,ARS,Arsenal,Arsenal,England,Inglaterra,,9,,,6.0,,12
2002,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,,9,,,3.0,,6
2002,61582,GEN,Genk,Genk,Belgium,Bélgica,,9,,,2.0,,6
2002,5312,LYO,Lyon,Lyon,France,Francia,,9,,,1.0,,6
2002,50062,PSV,PSV,PSV,Netherlands,Holanda,,8,,,3.0,,6
2002,52749,FEY,Feyenoord,Feyenoord,Netherlands,Holanda,,8,,,2.0,,6
2002,7889,LIV,Liverpool,Liverpool,England,Inglaterra,,8,,,1.0,,6
2002,52269,AJA,Auxerre,Auxerre,France,Francia,,7,,,2.0,,6
2002,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,,7,,,2.0,,6
2002,50043,BRU,Club Brugge,Club Brugge,Belgium,Bélgica,,7,,,2.0,,6
2003,50051,RMA,Real Madrid,Real Madrid,Spain,España,52.0,11,,,3.0,,10
2003,52914,CHE,Chelsea,Chelsea,England,Inglaterra,42.0,10,,,6.0,,12
2003,59044,DEP,Deportivo,Deportivo,Spain,España,39.0,17,,,7.0,,12
2003,50033,SPA,Sparta Praha,Sparta Praha,Czechia,Chequia,38.0,9,,,3.0,,8
2003,50064,POR,Porto,Porto,Portugal,Portugal,37.0,12,,,5.0,,13
2003,50058,MIL,Milan,Milan,Italy,Italia,36.0,9,,,5.0,,10
2003,5312,LYO,Lyon,Lyon,France,Francia,32.0,11,,,3.0,,10
2003,50023,MON,Monaco,Monaco,France,Francia,31.0,19,,,3.0,,13
2003,52280,ARS,Arsenal,Arsenal,England,Inglaterra,30.0,11,,,4.0,,10
2003,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,30.0,8,,,1.0,,6
2003,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,28.0,9,,,2.0,,8
2003,50162,PRT,Partizan,Partizan,Serbia,Serbia,27.0,8,,,1.0,,6
2003,52973,LAZ,Lazio,Lazio,Italy,Italia,26.0,10,,,1.0,,6
2003,50139,JUV,Juventus,Juventus,Italy,Italia,26.0,8,,,2.0,,8
2003,50067,GAL,Galatasaray,Galatasaray,Türkiye,Turquía,25.0,8,,,2.0,,6
2003,50129,AEK,AEK Athens,AEK Athens,Greece,Grecia,23.0,11,,,1.0,,6
2003,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,23.0,7,,,3.0,,8
2003,50123,RSO,Real Sociedad,Real Sociedad,Spain,España,22.0,10,,,2.0,,8
