season_year,team_id,team_code,team_name_en,team_name_es,country_en,country_es,goals__goals,goals__goals_scored_with_right,goals__goals_scored_with_left,goals__goals_scored_head,goals__goals_scored_inside_penalty_area,goals__goals_scored_outside_penalty_area,goals__penalty_scored,goals__matches_appearance
2003,50064,POR,Porto,Porto,Portugal,Portugal,20,5.0,1.0,,19.0,1.0,2.0,13
2003,59044,DEP,Deportivo,Deportivo,Spain,España,19,4.0,1.0,2.0,16.0,3.0,1.0,12
2003,50051,RMA,Real Madrid,Real Madrid,Spain,España,18,2.0,4.0,1.0,13.0,5.0,1.0,10
2003,52914,CHE,Chelsea,Chelsea,England,Inglaterra,16,4.0,2.0,,13.0,2.0,,12
2003,52280,ARS,Arsenal,Arsenal,England,Inglaterra,16,,,2.0,13.0,3.0,,10
2003,52682,MUN,Man Utd,Man Utd,England,Inglaterra,15,5.0,6.0,3.0,14.0,,1.0,8
2003,50139,JUV,Juventus,Juventus,Italy,Italia,15,2.0,1.0,2.0,11.0,4.0,,8
2003,50058,MIL,Milan,Milan,Italy,Italia,12,,1.0,,7.0,5.0,,10
2003,5312,LYO,Lyon,Lyon,France,Francia,11,2.0,1.0,3.0,8.0,2.0,2.0,10
2003,50107,STU,Stuttgart,Stuttgart,Germany,Alemania,9,4.0,1.0,2.0,7.0,1.0,,8
2003,53065,LMO,Lokomotiv Moskva,Lokomotiv Moskva,Russia,Rusia,9,1.0,1.0,1.0,7.0,1.0,1.0,8
2003,53043,CLT,Celta,Celta,Spain,España,9,1.0,,1.0,6.0,2.0,1.0,8
2003,52748,MAR,Marseille,Marseille,France,Francia,9,,2.0,4.0,9.0,,,6
2003,52723,DKY,Dynamo Kyiv,Dynamo Kyiv,Ukraine,Ucrania,8,2.0,,1.0,6.0,2.0,,6
2003,50138,INT,Inter,Inter,Italy,Italia,8,1.0,2.0,1.0,8.0,,,6
2003,50050,CEL,Celtic,Celtic,Scotland,Escocia,8,1.0,,3.0,5.0,2.0,,6
